Ёлка	елк	ёлка
Это	эт	это
обычная	обычн	обычный
тестовая	тестов	тестовый
строка	строк	строка
,	,	,
которая	котор	который
содержит	содерж	содержать
знаки	знак	знак
припинания	припинан	припинание
такие	так	такой
как	как	как
:	:	:
,	,	,
.	.	.
:	:	:
?	?	?
.	.	.
Кроме	кром	кроме
того	тог	тот
данный	дан	данный
пример	пример	пример
содержит	содерж	содержать
информацию	информац	информация
о	о	о
номерах	номер	номер
телефонов	телефон	телефон
+7-901-000-00-00	+7-901-000-00-00	+7-901-000-00-00
,	,	,
8(918)3213412	8(918)3213412	8(918)3213412
и	и	и
адресах	адрес	адрес
г. Санкт-Петербург, ул. Советская, д. 1294124, кв. 1	г. санкт-петербург, ул. советская, д. 1294124, кв. 1	г. санкт-петербург, ул. советская, д. 1294124, кв. 1
.	.	.
,	,	,
город Тест, улица Тестовая, дом 1, квартира 2	город тест, улица тестовая, дом 1, квартира 2	город тест, улица тестовая, дом 1, квартира 2
,	,	,
и	и	и
эмотиконах	эмотикон	эмотикона
:(	:(	:(
,	,	,
:=)	:=)	:=)
,	,	,
:)	:)	:)
,	,	,
Xd	Xd	xd
,	,	,
XD	XD	xd
,	,	,
<3	<3	<3
,	,	,
=3	=3	=3
,	,	,
:3	:3	:3
,	,	,
8-)	8-)	8-)
,	,	,
B-)	B-)	b-)
